20:13:44.195 INFO  manager.ApplicationManager - All tests run in Chrome
20:13:45.804 INFO  manager.ApplicationManager - The link--->https://ilcarro.web.app/search
20:13:45.833 INFO  manager.ListenerWD - Before find element By.xpath: //*[text()=' Logout ']
20:13:55.868 INFO  manager.ListenerWD - Element found success By.xpath: //*[text()=' Logout ']
20:13:55.870 INFO  manager.ListenerWD - Before find element By.xpath: //a[text()=' Log in ']
20:13:55.902 INFO  manager.ListenerWD - Element found success By.xpath: //a[text()=' Log in ']
20:13:55.914 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (74ff6ddb4a10af6509cb94272fb3ac81)] -> xpath: //a[text()=' Log in ']]
20:13:56.050 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (74ff6ddb4a10af6509cb94272fb3ac81)] -> xpath: //a[text()=' Log in ']]
20:13:56.051 INFO  manager.ListenerWD - Before find element By.xpath: //*[@id='email']
20:13:56.093 INFO  manager.ListenerWD - Element found success By.xpath: //*[@id='email']
20:13:56.094 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (74ff6ddb4a10af6509cb94272fb3ac81)] -> xpath: //*[@id='email']]
20:13:56.188 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (74ff6ddb4a10af6509cb94272fb3ac81)] -> xpath: //*[@id='email']]
20:13:56.569 INFO  manager.ListenerWD - Before find element By.xpath: //*[@id='password']
20:13:56.604 INFO  manager.ListenerWD - Element found success By.xpath: //*[@id='password']
20:13:56.605 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (74ff6ddb4a10af6509cb94272fb3ac81)] -> xpath: //*[@id='password']]
20:13:56.679 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (74ff6ddb4a10af6509cb94272fb3ac81)] -> xpath: //*[@id='password']]
20:13:56.965 INFO  manager.ListenerWD - Before find element By.xpath: //*[@type='submit']
20:13:56.998 INFO  manager.ListenerWD - Element found success By.xpath: //*[@type='submit']
20:13:56.999 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (74ff6ddb4a10af6509cb94272fb3ac81)] -> xpath: //*[@type='submit']]
