19:57:55.578 INFO  manager.ApplicationManager - All tests run in Chrome
19:57:57.135 INFO  manager.ApplicationManager - The link--->https://ilcarro.web.app/search
19:57:57.163 INFO  manager.ListenerWD - Before find element By.xpath: //*[text()=' Logout ']
19:58:07.239 INFO  manager.ListenerWD - Element found success By.xpath: //*[text()=' Logout ']
19:58:07.243 INFO  manager.ListenerWD - Before find element By.xpath: //a[text()=' Log in ']
19:58:07.272 INFO  manager.ListenerWD - Element found success By.xpath: //a[text()=' Log in ']
19:58:07.285 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (92dbc530ebacea8a035a1fe738dc4a2e)] -> xpath: //a[text()=' Log in ']]
19:58:07.397 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (92dbc530ebacea8a035a1fe738dc4a2e)] -> xpath: //a[text()=' Log in ']]
19:58:07.397 INFO  manager.ListenerWD - Before find element By.xpath: //*[@id='email']
19:58:07.428 INFO  manager.ListenerWD - Element found success By.xpath: //*[@id='email']
19:58:07.429 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (92dbc530ebacea8a035a1fe738dc4a2e)] -> xpath: //*[@id='email']]
19:58:07.511 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (92dbc530ebacea8a035a1fe738dc4a2e)] -> xpath: //*[@id='email']]
19:58:07.898 INFO  manager.ListenerWD - Before find element By.xpath: //*[@id='password']
19:58:07.922 INFO  manager.ListenerWD - Element found success By.xpath: //*[@id='password']
19:58:07.923 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (92dbc530ebacea8a035a1fe738dc4a2e)] -> xpath: //*[@id='password']]
19:58:07.983 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (92dbc530ebacea8a035a1fe738dc4a2e)] -> xpath: //*[@id='password']]
19:58:08.221 INFO  manager.ListenerWD - Before find element By.xpath: //*[@type='submit']
19:58:08.250 INFO  manager.ListenerWD - Element found success By.xpath: //*[@type='submit']
19:58:08.251 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (92dbc530ebacea8a035a1fe738dc4a2e)] -> xpath: //*[@type='submit']]
